Unnamed: 0;tweet_id;text;science_related;scientific_claim;scientific_reference;scientific_context;Alain_émotions;Alain_émotions 2;Anton_émotions;Anton_émotions 2;Tony_émotion;Tony_émotions 2;emotion_majoritaire_toutes;emotion_majoritaire_em1
95;4.310837590859694e+17;A NOBLE CAUSE DIES 1000 DEATHS TIL A HEART IS CHANGED #WEARETHEPEOPLE;0;0.0;0.0;0.0;2;7.0;5;;5;;5.0;5.0
96;4.313210211869696e+17;The Biology of Belief: Unleashing the Power of Consciousness. Matter. & Miracles by Bruce H. Lipton. who is a scientist turned mystic.;1;0.0;1.0;1.0;7;;7;;7;;7.0;7.0
97;4.325802686677156e+17;"3OMF's. supposedly ""grown men"" will not stop talking about flappy bird in group chat. Has been the only topic of discussion today.";0;0.0;0.0;0.0;6;2.0;6;;6;;6.0;6.0
98;4.350626842631414e+17;Hey guess new Twitter cause new phone so yea please lik. direct tweet. nd please follow thx Luvs bii;0;0.0;0.0;0.0;3;7.0;7;;4;;7.0;3.0
99;4.355746326417572e+17;@CordeliaLogan Exactly. There’s nothing in that link that causes text messages to be sent. That just performs a follow.;0;0.0;0.0;0.0;7;;7;;7;;7.0;7.0
100;4.3664579494322586e+17;Yep. Eating vegetarian today. Geez. “@nprnews: 'Piglet Smoothie' Fed To Sows To Prevent Disease: Activists Outraged http://t.co/5LifNxWuiR”;0;0.0;0.0;0.0;3;;2;;6;5.0;2.0;2.0
101;4.3773719478706176e+17;WARNING! Bible reading can be habit forming and will cause loss of fear and anxiety. Side effects are joy. love. peace. and contentment!;1;1.0;0.0;0.0;4;3.0;4;;3;;3.0;4.0
102;4.382371642082796e+17;#TRAINhealth Research found improvement in sleep quality was linked w/ weight loss. meaning a flatter stomach could mean better sleep;1;1.0;0.0;1.0;3;4.0;4;;3;;3.0;3.0
105;4.404976677903606e+17;Niggas jus need to live an stop the stressing;0;0.0;0.0;0.0;7;;7;;3;;7.0;7.0
106;4.4053613774493696e+17;North Korea puts Yorkshire Terriers in zoo: http://t.co/VyABEx7YnO;0;0.0;0.0;0.0;7;4.0;4;;7;;4.0;7.0
107;4.4092237431821114e+17;@SpeakerBoehner #GOP #ImmigrationReform is still in ur hands #latism will not stop the fight #TNTweeters @DRMAction http://t.co/sxc5kcN1aw;0;0.0;0.0;0.0;4;7.0;7;;2;;7.0;2.0
108;4.4214264425732096e+17;What the New HIV Breakthroughs Mean for the Future of the Disease | Healthy Living - Yahoo Shine http://t.co/f1qN57RHHO;1;0.0;1.0;1.0;4;3.0;7;;3;;3.0;3.0
109;4.4220764389390336e+17;Spice up your diet for greater fat loss: http://t.co/la5L94hm8p;1;1.0;1.0;1.0;4;7.0;4;;3;;4.0;4.0
110;4.4331417192117446e+17;Retirement home laws ‘in need of review’. @AdamMarshall777 reports in #7NewsBris http://t.co/AVupGZ3m34;0;0.0;0.0;0.0;7;;2;;7;;7.0;7.0
111;4.436707541783798e+17;What will digital life look like in a decade? Some predictions. from the optimistic to mind control http://t.co/q4F7Bice83;1;0.0;1.0;1.0;7;4.0;1;;7;;7.0;7.0
112;4.449159931321426e+17;@nma08244 Small step for man. quantum leap for particle kind! http://t.co/aVhtJyxr1Y & http://t.co/YTULs3Xoc6 http://t.co/iXTn0CjehM;1;0.0;1.0;1.0;3;;3;;3;;3.0;3.0
113;4.459910775528653e+17;Determination leads to Success. Best day of my life #nowplaying;1;1.0;0.0;0.0;3;;3;;3;;3.0;3.0
114;4.461217175601152e+17;Blonde Girl Starts to Masturbate Leads to a Quick Fuck http://t.co/FvlwBW1twq #movie #music #ass #lol #video;0;0.0;0.0;0.0;7;;4;;4;;4.0;4.0
115;4.464866219997266e+17;http://t.co/JcgzoUqu1f We specialise in providing the modular ground study courses required to convert your ICAO professional;0;0.0;0.0;0.0;7;;7;;7;;7.0;7.0
116;4.466892362266706e+17;More great printing work by @instantprint. helping us launch our new brand identity. http://t.co/1H2bbdpUir;0;0.0;0.0;0.0;3;;7;;3;;3.0;3.0
117;4.519549961588204e+17;“@Tasha_unicorns: Deep has got to stop being so deep”;0;0.0;0.0;0.0;7;;7;;4;;7.0;7.0
118;4.53229267673813e+17;Can't find the alien exercise;0;0.0;0.0;0.0;6;;5;;7;;5.0;5.0
119;4.5373121678973754e+17;The underground just don't stop for hoes 😂✋💃;0;0.0;0.0;0.0;3;7.0;3;;2;;3.0;3.0
120;4.556246430520566e+17;Neurobiological Bases of Abnormal Aggression and Violent Behaviour http://t.co/NWDSQy95AT;1;0.0;1.0;1.0;7;4.0;4;;7;;4.0;7.0
121;4.561392741620285e+17;A raise to $1.8 million would have placed Martin's salary no higher than eighth in the SEC.;0;0.0;0.0;0.0;6;;7;;7;;7.0;7.0
122;4.586224505370746e+17;Dark Skin May Be A Protector Against Cancer http://t.co/lrC8Rsuyqz;1;1.0;0.0;0.0;4;;4;;3;;4.0;4.0
123;4.61347905081598e+17;Missouri Senate passes sales tax increase for roads ..BreakingNews KansasCity http://t.co/wJDUA338uL;0;0.0;0.0;0.0;7;;7;;7;;7.0;7.0
124;4.6182710930939904e+17;LEED-certified buildings are often less energy-efficient than un-certified ones: http://t.co/DXj3ez07x7;1;1.0;0.0;1.0;4;;7;;7;;7.0;7.0
125;4.6420343339471674e+17;Job : Durham NC - Sr. Network Security Engineer - support Network Based Security infrastructure to provide sec... http://t.co/zVltTs0ogH;0;0.0;0.0;0.0;7;;7;;7;;7.0;7.0
126;4.644424625731706e+17;MAY SPECIAL - SIGN UP FOR $29.95 ($20 savings) Need more money? Love candles? Work from home selling http://t.co/GN8BLNUt0k;0;0.0;0.0;0.0;7;;7;;7;;7.0;7.0
127;4.644974960569466e+17;I hate people. Take good pics of zayn and stop taking so many of grease ball;0;0.0;0.0;0.0;2;;6;;2;;2.0;2.0
128;4.645403282935849e+17;"Unbelievable day at #ACDIS2014 today. So many people saying the same thing ""No One Else Is doing that..."" Stop by Friday learn what THAT is!";0;0.0;0.0;0.0;3;;4;;4;;4.0;4.0
129;4.6469625573870394e+17;5 Surprising Ways Social Media is Affecting Healthcare ~ Social Media Frontiers: http://t.co/IxuQ4hfxw5;1;1.0;0.0;0.0;4;;4;;4;;4.0;4.0
130;4.659288903815004e+17;@BarsAndMelody song has basically started a trend to stop bullying💖 #putastoptobullying2014;0;0.0;0.0;0.0;3;;3;;3;;3.0;3.0
131;4.6621632275009126e+17;#Beijing. #China sees significant increase of armed #police presence on streets http://t.co/HaTeA4kg08;1;1.0;0.0;0.0;4;;2;;3;;2.0;2.0
132;4.664689783330611e+17;Photos: San Diego wildfires lead to evacuation of 20000 homes - Washington Post http://t.co/NqmUnXMScg;0;0.0;0.0;0.0;2;5.0;5;;5;6.0;5.0;5.0
133;4.6659273080243e+17;UK population is eating too much sugar. saturated fat and salt https://t.co/jqqJ8TBWGI;1;1.0;1.0;1.0;6;2.0;7;;6;5.0;6.0;6.0
134;4.67006461605081e+17;Even Superman had to get a job. Moral of this story is Stop saving everyone for free. #FLYE… http://t.co/p7mhlBbgbt;0;0.0;0.0;0.0;5;;7;;2;;2.0;2.0
135;4.6987403303583744e+17;"""@DWatson2x: DeSoto Need To Stop Spending Money On They Football Team Who Can't Win State & Fix These Bathrooms""💀💀💀💀";0;0.0;0.0;0.0;2;6.0;2;;2;;2.0;2.0
136;4.703383510907781e+17;Selector Infected WIXOSS Causes Sharp Decline in Card Sales http://t.co/mVqmEU9IxQ;0;0.0;0.0;0.0;2;5.0;7;;5;;5.0;2.0
137;4.716672392889917e+17;Don't miss the June 17 VRUC: #Jazz & #CLM meeting: Delivering Better Requirements via Expert Systems - http://t.co/D7giMPeEYf #RationalUC;0;0.0;0.0;0.0;7;;7;;7;;7.0;7.0
138;4.739243662420214e+17;@SenatorParker New York State must not set a precedent of passing laws that support quackery. Here's a great post: http://t.co/atM6hdDzMq;1;0.0;1.0;1.0;4;7.0;7;;2;;7.0;2.0
139;4.749678881098998e+17;"""@KingVegeta_: @Joiko_Saiyan #ProjectXVegeta"" Supports this with immense description.";0;0.0;0.0;0.0;7;;7;;3;;7.0;7.0
140;4.768785321411379e+17;POLYGAMISOGYNIST: (n) One of the 'peaceful & tolerant' who has more than one wife to treat in an unkind and UNEQUALITARIAN manner;0;0.0;0.0;0.0;4;7.0;7;;2;;7.0;2.0
141;4.7757142239165645e+17;Soccer? Whats that? Twitter promotes one sport?;0;0.0;0.0;0.0;2;6.0;7;;4;;2.0;2.0
142;4.8040049325325926e+17;Honestly I won't be surprised if Iran win. Upsets are a theme this world cup;0;0.0;0.0;0.0;4;6.0;2;;4;;4.0;4.0
143;4.8134310436497e+17;The Weight Loss Plateau: Causes And Solutions For This Frustrating Problem http://t.co/MYtEQVW75l htt... http:... http://t.co/moOAcMCaXT;0;0.0;0.0;0.0;4;7.0;7;;5;6.0;7.0;4.0
144;4.8289391223989856e+17;people who are jealous automatically call whoever Justin's associated with a hoe or a thot like stop.;0;0.0;0.0;0.0;2;;6;;2;;2.0;2.0
145;4.835871576770642e+17;The who. what. when. where. and why of the @BloombergCities & @nesta_uk #Iteams research http://t.co/1tCfbw4QPI #innovation #publicsector;1;0.0;0.0;1.0;7;;7;;7;;7.0;7.0
146;4.845124463132713e+17;Birthday dinner - a biscuit & a Rice Krispie treat courtesy of @ali_harlan. Solid twenty minutes at home between tumbling & church.😉 #hangry;0;0.0;0.0;0.0;3;;3;;3;;3.0;3.0
147;4.8471069235715686e+17;Smoking cigarettes are a turn off. 😷;0;0.0;0.0;0.0;6;;6;;2;;6.0;6.0
148;4.8491024246389146e+17;Came to a bus stop to watch the fireworks 😂;0;0.0;0.0;0.0;3;;3;;3;;3.0;3.0
149;4.851684522193142e+17;People gotta stop a the international shirts today and start wearing American shirts -.- 🇺🇸 #usa;0;0.0;0.0;0.0;6;;7;;3;;3.0;3.0
150;4.863966786695987e+17;Learn from yesterday. live for today. hope for tomorrow. The important thing is not to stop questioning. - Albert Einstein;0;0.0;0.0;0.0;3;;7;;3;;3.0;3.0
152;4.867354190530601e+17;"""Shall we pray before we eat?"" (Note. this is what scholars call a 'rhetorical' question) #FirstDateQuestions";0;0.0;0.0;0.0;7;;7;;7;;7.0;7.0
153;4.875059100973957e+17;truuu “@lilbodyjas: Mixed signals are a bitch lol”;0;0.0;0.0;0.0;4;;6;;3;;3.0;3.0
154;4.880420328256634e+17;🇺🇸 CBS: Census Data Show U.S. Doesn't Have Shortage of STEM Workers http://t.co/bhPpXhGcYI #WIUNION;1;1.0;1.0;1.0;4;;7;;3;;3.0;3.0
155;4.8838008263791e+17;“@leeezy__: ladies. stop with the knee high gladiator sandals..pls”#fixitJesus;0;0.0;0.0;0.0;7;;6;;2;;2.0;2.0
156;4.884826729653412e+17;@miscarriage_hlp @BLA_Campaign please help support this movie. Based on the true story of the writer. http://t.co/gW9XpJcxIs #jacobandi;0;0.0;0.0;0.0;3;;7;;7;;7.0;7.0
157;4.885147392415048e+17;These birds won't stop cherping!;0;0.0;0.0;0.0;2;;7;;2;;2.0;2.0
158;4.890111015860388e+17;@Bruciebabe @WillardFoxton @doxievee @Nicksb36 @richardcalhoun Same people who believe statistics are a science.;0;0.0;0.0;0.0;7;;7;;2;;7.0;7.0
159;4.904809377599324e+17;The head coach surveys the scene at Heritage Park http://t.co/yJrxAyPHTW;0;0.0;0.0;0.0;7;;7;;7;;7.0;7.0
160;4.907278008321516e+17;Adversity causes some men to break: others to break records.;1;1.0;0.0;0.0;3;;7;;3;;3.0;3.0
161;4.915948184646574e+17;Disabled vehicle. center lane blocked in on Rt 128 NB after EX 20 - Rt 9 stop and go traffic from EX 15 - Rt 1. delay of 15 mins #traffic;0;0.0;0.0;0.0;7;;7;;7;;7.0;7.0
162;4.931214048970957e+17;#TelAviv: Israelis protesting against #GazaUnderAttack calling on Israeli government to stop the attack http://t.co/hyZA1OQGIW;0;0.0;0.0;0.0;2;6.0;7;;2;;2.0;2.0
163;4.932029388403671e+17;BY THIS MAGIC LITTLE WHO GRANT EVERY WISH CAUSE IN REALITY;0;0.0;0.0;0.0;7;;7;;2;;7.0;7.0
164;4.937752147620004e+17;@RoxOrganisation proud to be associated with Rox! Well organised professionally run oh and great hospitality thanks to all;0;0.0;0.0;0.0;3;;3;;3;;3.0;3.0
165;4.944714165623276e+17;Make sure you get down to my mate @timcroninmusic's gig TOMORROW! Raising money for an amazing cause too @for_luca http://t.co/tNgqYbIf91;0;0.0;0.0;0.0;3;;3;;3;;3.0;3.0
