text	emotions	text_proc	cat1_score	cat2_score	cat3_score
He was forced to rent a room from his ex-wife, in the house he purchased over twenty years ago.	[0, 0, 0, 0, 0, 1]	he was forced to rent a room from his ex-wife , in the house he purchased over twenty years ago .	0.024924524128437042	0.016385899856686592	0.023965919390320778
Presurgical MRI showed a spot deep in the left breast.	[0, 0, 0, 0, 0, 1]	presurgical mri showed a spot deep in the left breast .	0.576012134552002	0.11050811409950256	0.16402758657932281
I had an even longer wait.	[0, 0, 0, 0, 0, 1]	i had an even longer wait .	0.05134763941168785	0.01416721660643816	0.014131995849311352
It coats the throat and also helps with constipation.	[0, 0, 0, 0, 0, 1]	it coats the throat and also helps with constipation .	0.8649070262908936	0.05292312800884247	0.07094176858663559
My worse side effects were after all my treatments were done, then really bad fatigue that lasted for about 5 weeks.	[0, 0, 0, 0, 0, 1]	my worse side effects were after all my treatments were done , then really bad fatigue that lasted for about 5 weeks .	0.8245276808738708	0.0422695092856884	0.0487591028213501
If it is, the pneumonitis may require treatment before proceeding with Imfinzi.	[0, 0, 0, 0, 0, 1]	if it is , the pneumonitis may require treatment before proceeding with imfinzi .	0.6720391511917114	0.057058852165937424	0.07690440863370895
I would NEVER put up with that behavior by your oncologist/radiologist.	[0, 0, 0, 0, 0, 1]	i would never put up with that behavior by your oncologist / radiologist .	0.03201015293598175	0.017900614067912102	0.020515751093626022
Listen to you body and if you feel like going to bed at 6:00 and sleeping until 10:00 a.m. just do it.	[0, 0, 0, 0, 0, 1]	listen to you body and if you feel like going to bed at 6:00 and sleeping until 10:00 a . m . just do it .	0.0667395293712616	0.016749626025557518	0.013202877715229988
I also hated the carb free diet, especially in that I had a case of the 24 hour flu on Saturday night, and the last thing I wanted Sunday was meat.	[0, 0, 0, 0, 0, 1]	i also hated the carb free diet , especially in that i had a case of the 24 hour flu on saturday night , and the last thing i wanted sunday was meat .	0.054858241230249405	0.013155597262084484	0.01576811634004116
Unless you want some slimeball using your email to sell Viagra, you should remove it now ;-)I don't know of any private cancer clinics that have a consistently good reputation, but here's a .	[0, 0, 0, 0, 0, 1]	unless you want some slimeball using your email to sell viagra , you should remove it now ;-) i do n't know of any private cancer clinics that have a consistently good reputation , but here ' s a .	0.0445285364985466	0.015620366670191288	0.017609454691410065
I did not look into insurance coverage, because if I choose him or any other surgeon outside of my coverage, I'd have to pay for it myself.	[0, 0, 0, 0, 0, 1]	i did not look into insurance coverage , because if i choose him or any other surgeon outside of my coverage , i ' d have to pay for it myself .	0.06486553698778152	0.014154043048620224	0.013488861732184887
Well, sometimes being honest means it isn't always positive and can be very dark.	[0, 0, 0, 0, 0, 1]	well , sometimes being honest means it is n't always positive and can be very dark .	0.4021975100040436	0.019240984693169594	0.014386898837983608
I am doing what your suggesting and taking a step back to see wher ethis will all go, trying to get as much information as possible and make that informed decison.	[0, 0, 0, 0, 0, 1]	i am doing what your suggesting and taking a step back to see wher ethis will all go , trying to get as much information as possible and make that informed decison .	0.020534520968794823	0.014721252955496311	0.021155718713998795
I had a mastectomy of the left breast and immediate reconstruction this past January.	[0, 0, 0, 0, 0, 1]	i had a mastectomy of the left breast and immediate reconstruction this past january .	0.16574464738368988	0.04249604046344757	0.06054016575217247
<PERSON>...nope if <PERSON> is a problem, this would probably cause domestic strife, too.	[0, 0, 0, 0, 0, 1]	<person> ... nope if <person> is a problem , this would probably cause domestic strife , too .	0.2835233509540558	0.016713954508304596	0.01261502131819725
Most recently I was using as many as three pads a day.	[0, 0, 0, 0, 0, 1]	most recently i was using as many as three pads a day .	0.028872035443782806	0.01489182747900486	0.02278476022183895
"Some day in some way he will pay for the way he has treated you.We are here for you
<PERSON>"	[0, 0, 0, 0, 0, 1]	some day in some way he will pay for the way he has treated you.we are here for you <person>	0.04022730514407158	0.013786019757390022	0.014115378260612488
"you dont look good today""    Eva"	[0, 0, 0, 0, 0, 1]	"you dont look good today "" eva"	0.0312628298997879	0.01373701635748148	0.014202945865690708
I can not eat red meat at all, I vomit.	[0, 0, 0, 0, 0, 1]	i can not eat red meat at all , i vomit .	0.27996915578842163	0.017355801537632942	0.012602659873664379
He took his time and answered all our questions.	[0, 0, 0, 0, 0, 1]	he took his time and answered all our questions .	0.02328561618924141	0.015610217116773129	0.02345726639032364
Just because someone smoked does not mean that they deserve cancer either.	[0, 0, 0, 0, 0, 1]	just because someone smoked does not mean that they deserve cancer either .	0.389875203371048	0.018169628456234932	0.016007553786039352
If you ever get a dr that wants to give up on you run and find another dr. my first onc told if my cancer came back there was nothing that could be done, if it wasnt for the 2nd onc I wouldn't be here writing this good luck you are in my prayers.	[0, 0, 0, 0, 0, 1]	if you ever get a dr that wants to give up on you run and find another dr . my first onc told if my cancer came back there was nothing that could be done , if it wasnt for the 2nd onc i would n't be here writing this good luck you are in my prayers .	0.026787735521793365	0.014370383694767952	0.01598944142460823
I will be gone Tuesday Sept. 30th and back Sunday Oct. 4th so it may be awhile before I can get back to you.	[0, 0, 0, 0, 0, 1]	i will be gone tuesday sept . 30th and back sunday oct . 4th so it may be awhile before i can get back to you .	0.017564857378602028	0.016237087547779083	0.02155827358365059
Some lung cancers are faster growing, but most doctors are still comfortable waiting up to one month between diagnosis and treatment.	[0, 0, 0, 0, 0, 1]	some lung cancers are faster growing , but most doctors are still comfortable waiting up to one month between diagnosis and treatment .	0.9650322794914246	0.3916238844394684	0.4116664528846741
The day before I shaved I had hair everyone in my house.	[0, 0, 0, 0, 0, 1]	the day before i shaved i had hair everyone in my house .	0.02990631014108658	0.013841083273291588	0.015468350611627102
The surgeon removed the nodule and a portion of her upper left lobe.	[0, 0, 0, 0, 0, 1]	the surgeon removed the nodule and a portion of her upper left lobe .	0.24540941417217255	0.05895582213997841	0.12003642320632935
No pain on the left side at all.	[0, 0, 0, 0, 0, 1]	no pain on the left side at all .	0.3132868707180023	0.026311494410037994	0.022639425471425056
I would definitely get a second opinion on the situation.	[0, 0, 0, 0, 0, 1]	i would definitely get a second opinion on the situation .	0.041857343167066574	0.015213540755212307	0.015697984024882317
As I read <PERSON> post, accuracy of the PCA3 pee test is NOT the issue.His doc just thinks that taking the PCA3 test will improve the likelihood that the insurer will approve <PERSON> for a Tesla 3 MRI.	[0, 0, 0, 0, 0, 1]	as i read <person> post , accuracy of the pca 3 pee test is not the issue.his doc just thinks that taking the pca 3 test will improve the likelihood that the insurer will approve <person> for a tesla 3 mri .	0.19495008885860443	0.018945204094052315	0.019951364025473595
And, you look forward to having your breasts removed to make your girlfriends jealous in 10 years?	[0, 0, 0, 0, 0, 1]	and , you look forward to having your breasts removed to make your girlfriends jealous in 10 years ?	0.080394446849823	0.014555763453245163	0.012289685197174549
Will continue to keep him in my prayers, along with the family.	[0, 0, 0, 0, 0, 1]	will continue to keep him in my prayers , along with the family .	0.02173587493598461	0.015630356967449188	0.020831044763326645
First I was so tired and sick from chemo.	[0, 0, 0, 0, 0, 1]	first i was so tired and sick from chemo .	0.08974043279886246	0.015993935987353325	0.012668086215853691
I had 33 sessions of radiation therapy and have to use oxygen when I sleep, upon exertion and when travel by plane.	[0, 0, 0, 0, 0, 1]	i had 33 sessions of radiation therapy and have to use oxygen when i sleep , upon exertion and when travel by plane .	0.2977890074253082	0.024864239618182182	0.027594909071922302
I wouldn't call mine 'lumpy bits' but lumps and bumps yes.....I believe it's the muscle and tissues after surgery that harden and need to be massaged, they will get better I'm told in time......time.......what a wonderful thing eh!	[0, 0, 0, 0, 0, 1]	i would n't call mine ' lumpy bits ' but lumps and bumps yes ... i believe it ' s the muscle and tissues after surgery that harden and need to be massaged , they will get better i ' m told in time ... time ... what a wonderful thing eh !	0.7563832402229309	0.03346680477261543	0.037188466638326645
I'm sure he is not taking the meds correctly, as he seems to be always in pain on the left side of his chest.	[0, 0, 0, 0, 0, 1]	i ' m sure he is not taking the meds correctly , as he seems to be always in pain on the left side of his chest .	0.10707839578390121	0.015564479865133762	0.011622498743236065
At first, it is very trying, but the more one does it, the easier it gets.	[0, 0, 0, 0, 0, 1]	at first , it is very trying , but the more one does it , the easier it gets .	0.14737017452716827	0.013642511330544949	0.014509933069348335
My survivor friends did pick up my goodie bag and I am wearing my survivor shirt right now!	[0, 0, 0, 0, 0, 1]	my survivor friends did pick up my goodie bag and i am wearing my survivor shirt right now !	0.020309776067733765	0.014817170798778534	0.01786571554839611
Even though I am fair,  this single hair is black,  and it's stiff as baling wire, and it's curly.	[0, 0, 0, 0, 0, 1]	even though i am fair , this single hair is black , and it ' s stiff as baling wire , and it ' s curly .	0.061176788061857224	0.012600517831742764	0.015110071748495102
However, those two things alone you fail to comment back to multiple inquires...based on that I guess no one has any reason to believe what you post - simple logic.	[0, 0, 0, 0, 0, 1]	however , those two things alone you fail to comment back to multiple inquires ... based on that i guess no one has any reason to believe what you post - simple logic .	0.05098441243171692	0.013077921234071255	0.01345494482666254
I somehow missed most of the drama but came in on the posts from survivors that found out that they had been played with.	[0, 0, 0, 0, 0, 1]	i somehow missed most of the drama but came in on the posts from survivors that found out that they had been played with .	0.025678399950265884	0.013523634523153305	0.019442711025476456
It's a very bad idea and the only reason to perpetrate a bad idea is to fulfill a bad agenda.	[0, 0, 0, 0, 0, 1]	it ' s a very bad idea and the only reason to perpetrate a bad idea is to fulfill a bad agenda .	0.23947855830192566	0.014945105649530888	0.01387274544686079
"There is a place to do this - your user account page has a section to post ""resources"", post pictures, etc."	[0, 0, 0, 0, 0, 1]	"there is a place to do this - your user account page has a section to post "" resources "" , post pictures , etc ."	0.026040976867079735	0.014577919617295265	0.01975315995514393
The school is still out whether it is atypical mets or something else..	[0, 0, 0, 0, 0, 1]	the school is still out whether it is atypical mets or something else ..	0.05956059694290161	0.01260825153440237	0.012952042743563652
This will show if it's working.....I have to believe it is...both visually and by being able to feel the two places, they appear, to me, to be smaller...no idea of the other nodes that I can't feel....sooooo as long as there is no progression of the disease I will remain on this drug....My oncologist may back the dosage off as the reports he's getting from the trial is this upped dosage is kicking everyone's butt!	[0, 0, 0, 0, 0, 1]	this will show if it ' s working ... i have to believe it is ... both visually and by being able to feel the two places , they appear , to me , to be smaller ... no idea of the other nodes that i can't feel ... sooooo as long as there is no progression of the disease i will remain on this drug ... my oncologist may back the dosage off as the reports he ' s getting from the trial is this upped dosage is kicking everyone ' s butt !	0.7312133312225342	0.036669813096523285	0.036803729832172394
I've been told the prostate has some enlargement but I don't think enough to be of concern.	[0, 0, 0, 0, 0, 1]	i ' ve been told the prostate has some enlargement but i do n't think enough to be of concern .	0.5517709851264954	0.023779183626174927	0.022070512175559998
My Appointment was at 2pm on Friday.	[0, 0, 0, 0, 0, 1]	my appointment was at 2pm on friday .	0.015120280906558037	0.019643113017082214	0.03147486224770546
I will be following up with her if anything changes.	[0, 0, 0, 0, 0, 1]	i will be following up with her if anything changes .	0.036846842616796494	0.014101258479058743	0.013569480739533901
As a man with prostate cancer who has studied this a great deal, I believe that without getting a PSA test(s) that many men will not be diagnosed in a timely fashion, and as a result will be diagnosed when it is too late....many will die.Unfortunately there is over treatment among men who have been diagnosed with low aggressive, low volume disease who as a result suffer serious side effects.	[0, 0, 0, 0, 0, 1]	as a man with prostate cancer who has studied this a great deal , i believe that without getting a psa test ( s ) that many men will not be diagnosed in a timely fashion , and as a result will be diagnosed when it is too late ... many will die.unfortunately there is over treatment among men who have been diagnosed with low aggressive , low volume disease who as a result suffer serious side effects .	0.9588109254837036	0.273583322763443	0.34119975566864014
"When I was originally diagnosed they also saw a spot in my right lung but the oncologist said not to worry, he said he didn't believe it was cancer but they would keep a close eye on it.In Feb.'11 my CT showed ""subtle changes"" in my lungs, May CT scan showed the changes were ""more distinguishable"" so they did a PET scan which showed a 2"" tumor in my right lung plus activity in my left lung and lymph nodes in the center of my chest."	[0, 0, 0, 0, 0, 1]	"when i was originally diagnosed they also saw a spot in my right lung but the oncologist said not to worry , he said he did n't believe it was cancer but they would keep a close eye on it.in feb . ' 11 my ct showed "" subtle changes "" in my lungs , may ct scan showed the changes were "" more distinguishable "" so they did a pet scan which showed a 2 "" tumor in my right lung plus activity in my left lung and lymph nodes in the center of my chest ."	0.6638232469558716	0.043832965195178986	0.06560873985290527
I also wake up sweating at night when the heater is on I get up and turn it off and my husband freezes .	[0, 0, 0, 0, 0, 1]	i also wake up sweating at night when the heater is on i get up and turn it off and my husband freezes .	0.2880795896053314	0.017708150669932365	0.013017396442592144
You should have my address floating somewhere nearby if you didnt loose it between Arizona and NY.	[0, 0, 0, 0, 0, 1]	you should have my address floating somewhere nearby if you didnt loose it between arizona and ny .	0.023016056045889854	0.014735659584403038	0.01803016848862171
"Yeah Margo
I also get the ""you're really handling this well"" comment...like what's my choice...handle it badly?"	[0, 0, 0, 0, 0, 1]	"yeah margo i also get the "" you ' re really handling this well "" comment ... like what ' s my choice ... handle it badly ?"	0.027222229167819023	0.014354811049997807	0.014340358786284924
This site seems to have a much better outlook on recovery than I have seen elsewhere.	[0, 0, 0, 0, 0, 1]	this site seems to have a much better outlook on recovery than i have seen elsewhere .	0.09724433720111847	0.04942107945680618	0.10844535380601883
I am A former smoker (quit 20 days ago) age 22 and diagnosed with an incidental 4mm lung nodule.	[0, 0, 0, 0, 0, 1]	i am a former smoker ( quit 20 days ago ) age 22 and diagnosed with an incidental 4mm lung nodule .	0.24138623476028442	0.02682819776237011	0.025566156953573227
However, oncologist scheduled another PET scan and blood test beginning of this month and I saw him at that time.	[0, 0, 0, 0, 0, 1]	however , oncologist scheduled another pet scan and blood test beginning of this month and i saw him at that time .	0.10911931097507477	0.033593036234378815	0.04816395789384842
I am thinking that the cancer created these sacs in between my lung lining and chest wall,and the fluid just collects there.	[0, 0, 0, 0, 0, 1]	i am thinking that the cancer created these sacs in between my lung lining and chest wall , and the fluid just collects there .	0.6720165610313416	0.032217346131801605	0.058885592967271805
"Hope you have a wonderful 40th  birthday.Lots of Hugs,
<PERSON>"	[0, 0, 0, 0, 0, 1]	hope you have a wonderful 40th birthday.lots of hugs , <person>	0.022939324378967285	0.015283581800758839	0.017767103388905525
That's certainly a <PERSON>al decision, but depending on her age and overall fitness, it's not something she should necessarily be afraid of.	[0, 0, 0, 0, 0, 1]	that ' s certainly a <person> al decision , but depending on her age and overall fitness , it ' s not something she should necessarily be afraid of .	0.3307439088821411	0.020590713247656822	0.019816862419247627
Can you share anything you have learned or your experience.	[0, 0, 0, 0, 0, 0]	can you share anything you have learned or your experience .	0.02555350959300995	0.01795816980302334	0.022216279059648514
Does anyone have a recommendation of a good hospital or cancer center that they used for a mediastinal surgery?	[0, 0, 0, 0, 0, 0]	does anyone have a recommendation of a good hospital or cancer center that they used for a mediastinal surgery ?	0.22881470620632172	0.027815042063593864	0.027392040938138962
His throat is sore and hard to swallow.	[0, 0, 0, 0, 0, 0]	his throat is sore and hard to swallow .	0.47854551672935486	0.02122945338487625	0.01980019360780716
So, no deodorant, no cremes, nothing.	[0, 0, 0, 0, 0, 0]	so , no deodorant , no cremes , nothing .	0.028963884338736534	0.014080562628805637	0.01558478083461523
freq mouth care does anyone have the recipe.	[0, 0, 0, 0, 0, 0]	freq mouth care does anyone have the recipe .	0.03329648822546005	0.013450250029563904	0.014741932973265648
I am glad for the news.	[0, 0, 0, 0, 0, 0]	i am glad for the news .	0.018002169206738472	0.015929225832223892	0.02305169776082039
franceluxe.com   you can view all the patterns etc.	[0, 0, 0, 0, 0, 0]	franceluxe.com you can view all the patterns etc .	0.019445210695266724	0.01699618063867092	0.02684972621500492
I just scratch my head trying to figure it out, LOL.	[0, 0, 0, 0, 0, 0]	i just scratch my head trying to figure it out , lol .	0.025630883872509003	0.013941243290901184	0.01591639034450054
This link will take you to a group of Tarceva users who are very active on the Internet.	[0, 0, 0, 0, 0, 0]	this link will take you to a group of tarceva users who are very active on the internet .	0.01820211671292782	0.02097812481224537	0.03847473859786987
First time around I had AC for chemo and was in <PERSON> trial.	[0, 0, 0, 0, 0, 0]	first time around i had ac for chemo and was in <person> trial .	0.025164851918816566	0.017357176169753075	0.02338111214339733
"Plain water was awful;
I too kept Biotene toothpaste, mouthwash, gum & mouth sorry."	[0, 0, 0, 0, 0, 0]	plain water was awful ; i too kept biotene toothpaste , mouthwash , gum & mouth sorry .	0.14412656426429749	0.015010898932814598	0.013158036395907402
I didnt know <PERSON> treated more than the breast area.	[0, 0, 0, 0, 0, 0]	i didnt know <person> treated more than the breast area .	0.19906148314476013	0.017026929184794426	0.014023787342011929
I have 3b nsclc and went through carbo/taxol 1 per week for 22 weeks.	[0, 0, 0, 0, 0, 0]	i have 3b nsclc and went through carbo / taxol 1 per week for 22 weeks .	0.0958409383893013	0.01913084276020527	0.02152238041162491
I don't text message and had to have it explained to me also.	[0, 0, 0, 0, 0, 0]	i do n't text message and had to have it explained to me also .	0.029119106009602547	0.013596851378679276	0.01478688046336174
Please feel free to contact me if you have any questions.	[0, 0, 0, 0, 0, 0]	please feel free to contact me if you have any questions .	0.020969688892364502	0.018268728628754616	0.021708227694034576
Their suggestion is to walk around, take deep breathes and cough up what ever he can.	[0, 0, 0, 0, 0, 0]	their suggestion is to walk around , take deep breathes and cough up what ever he can .	0.12336432188749313	0.013747802004218102	0.013709444552659988
of course they will watch what   the rest of the tumor is doing.	[0, 0, 0, 0, 0, 0]	of course they will watch what the rest of the tumor is doing .	0.18196791410446167	0.017388971522450447	0.024713417515158653
The doctors are treating him, - it's up to his caregivers to help him, - and themselves, - through treatment.	[0, 0, 0, 0, 0, 0]	the doctors are treating him , - it ' s up to his caregivers to help him , - and themselves , - through treatment .	0.09102406352758408	0.013524684123694897	0.01460970938205719
Hi <PERSON>,I had to call my folks in MO to find out just when <PERSON> was diagnosed.	[0, 0, 0, 0, 0, 0]	hi <person> , i had to call my folks in mo to find out just when <person> was diagnosed .	0.023216629400849342	0.014674047939479351	0.01763584464788437
After a year or two on the shelf it is not as good for you, so check the dates.	[0, 0, 0, 0, 0, 0]	after a year or two on the shelf it is not as good for you , so check the dates .	0.0409432053565979	0.014410055242478848	0.01510831993073225
I have bought a few presents for my family but haven't wrapped anything.	[0, 0, 0, 0, 0, 0]	i have bought a few presents for my family but have n't wrapped anything .	0.023934531956911087	0.014332369901239872	0.017498068511486053
I know this is frightening and I know it is such a disappointment.	[0, 0, 0, 0, 0, 0]	i know this is frightening and i know it is such a disappointment .	0.08420637995004654	0.012825408950448036	0.012440681457519531
The 3 month scans showed no activity at all.	[0, 0, 0, 0, 0, 0]	the 3 month scans showed no activity at all .	0.491875022649765	0.06756123155355453	0.13069121539592743
I think, with my husband's case, I've learned the lesson that everyone is a statistic of one.	[0, 0, 0, 0, 0, 0]	i think , with my husband ' s case , i ' ve learned the lesson that everyone is a statistic of one .	0.03058229759335518	0.014370287768542767	0.018184758722782135
I am just wondering if it is normal for your platelet count to go below 100.	[0, 0, 0, 0, 0, 0]	i am just wondering if it is normal for your platelet count to go below 100 .	0.40549060702323914	0.029967259615659714	0.02464156039059162
