	text	emotions
100	That's certainly a <PERSON>al decision, but depending on her age and overall fitness, it's not something she should necessarily be afraid of.	[0, 0, 0, 0, 0, 1]
101	Can you share anything you have learned or your experience.	[0, 0, 0, 0, 0, 0]
102	Does anyone have a recommendation of a good hospital or cancer center that they used for a mediastinal surgery?	[0, 0, 0, 0, 0, 0]
103	His throat is sore and hard to swallow.	[0, 0, 0, 0, 0, 0]
104	So, no deodorant, no cremes, nothing.	[0, 0, 0, 0, 0, 0]
105	freq mouth care does anyone have the recipe.	[0, 0, 0, 0, 0, 0]
106	I am glad for the news.	[0, 0, 0, 0, 0, 0]
107	franceluxe.com   you can view all the patterns etc.	[0, 0, 0, 0, 0, 0]
108	I just scratch my head trying to figure it out, LOL.	[0, 0, 0, 0, 0, 0]
109	This link will take you to a group of Tarceva users who are very active on the Internet.	[0, 0, 0, 0, 0, 0]
110	First time around I had AC for chemo and was in <PERSON> trial.	[0, 0, 0, 0, 0, 0]
111	"Plain water was awful;
I too kept Biotene toothpaste, mouthwash, gum & mouth sorry."	[0, 0, 0, 0, 0, 0]
112	I didnt know <PERSON> treated more than the breast area.	[0, 0, 0, 0, 0, 0]
113	I have 3b nsclc and went through carbo/taxol 1 per week for 22 weeks.	[0, 0, 0, 0, 0, 0]
114	I don't text message and had to have it explained to me also.	[0, 0, 0, 0, 0, 0]
115	Please feel free to contact me if you have any questions.	[0, 0, 0, 0, 0, 0]
116	Their suggestion is to walk around, take deep breathes and cough up what ever he can.	[0, 0, 0, 0, 0, 0]
117	of course they will watch what   the rest of the tumor is doing.	[0, 0, 0, 0, 0, 0]
118	The doctors are treating him, - it's up to his caregivers to help him, - and themselves, - through treatment.	[0, 0, 0, 0, 0, 0]
119	Hi <PERSON>,I had to call my folks in MO to find out just when <PERSON> was diagnosed.	[0, 0, 0, 0, 0, 0]
120	After a year or two on the shelf it is not as good for you, so check the dates.	[0, 0, 0, 0, 0, 0]
121	I have bought a few presents for my family but haven't wrapped anything.	[0, 0, 0, 0, 0, 0]
122	I know this is frightening and I know it is such a disappointment.	[0, 0, 0, 0, 0, 0]
123	The 3 month scans showed no activity at all.	[0, 0, 0, 0, 0, 0]
124	I think, with my husband's case, I've learned the lesson that everyone is a statistic of one.	[0, 0, 0, 0, 0, 0]
125	I am just wondering if it is normal for your platelet count to go below 100.	[0, 0, 0, 0, 0, 0]
126	My wife was diagnosed last year at age 39 with Stage 0 triple negative breast cancer.	[0, 0, 0, 0, 0, 0]
127	He is such a fighter and has lived now for a year and a month after they diagnosed him with small cell lung cancer.	[0, 0, 0, 0, 0, 0]
128	I hope the <PERSON> in Iowa likes it when she gets it.	[0, 0, 0, 0, 0, 0]
129	I am 2 years as of the 14th of July.	[0, 0, 0, 0, 0, 0]
130	<PERSON>, good luck with your tests and post to let us know what you do find out.Hugs, <PERSON>	[0, 0, 0, 0, 0, 0]
131	In your shoes, and having done chemo, I would recommend that you consider trying it to see if it's effective.	[0, 0, 0, 0, 0, 0]
132	Lupus is not an easy illness to have either.	[0, 0, 0, 0, 0, 0]
133	I'm just not used to the long walks in the hot sun but glad I was there with you.	[0, 0, 0, 0, 0, 0]
134	Where else would we be except with you?	[0, 0, 0, 0, 0, 0]
135	Wishing you and Heather both good luck!	[0, 0, 0, 0, 0, 0]
136	Does anyone have any experience with <PERSON> chemo?	[0, 0, 0, 0, 0, 0]
137	!Hope you quickly find the source of the problem.	[0, 0, 0, 0, 0, 0]
138	A <PERSON> can sign on when they have 6 mos or less left of their life.	[0, 0, 0, 0, 0, 0]
139	I totally understand your fears as I also received a bad pathology report last week.	[0, 0, 0, 0, 0, 0]
140	The third time, a week out I ran low grade fever and had sores in my mouth and throat.	[0, 0, 0, 0, 0, 0]
141	Based on this intraindividual comparative study, the uptake of both radiotracers was nearly identical in both the primary tumor and the metastases and no definite advantage could be perceived between the 2 tracers.	[0, 0, 0, 0, 0, 0]
142	-)Glenna	[0, 0, 0, 0, 0, 0]
143	They advised her that although there was not another growth in that area she should start doing treatment to control the area.	[0, 0, 0, 0, 0, 0]
144	Of course in my case I had to drive 25 miles each way so afternoons worked best for me.	[0, 0, 0, 0, 0, 0]
145	"""...A less than .3 cm growth was discovered in my upper left lung."	[0, 0, 0, 0, 0, 0]
146	Thank you for the opportunity to represent CSN.	[0, 0, 0, 0, 0, 0]
147	Gleason Score 8 - 9.	[0, 0, 0, 0, 0, 0]
148	A slight cough and a bit of wheezing that appeared to be allergy related.	[0, 0, 0, 0, 0, 0]
149	I am a 49 year old female, smoker, with no COPD or lung deficiency ever.	[0, 0, 0, 0, 0, 0]
150	The doctors immediately started radiation on the mass causing the svc syndrome, at the time the doctors believed it was small cell lung cancer.	[0, 0, 0, 0, 0, 0]
151	All nausea meds preordered so I am ready as I can be, just hate the unknown I guess.	[0, 0, 0, 0, 0, 0]
152	Will Santa give him/her special toys & treats?	[0, 0, 0, 0, 0, 0]
153	Pushing to get some exercise can take a bit to push to do but it's worth the effort in the long run.Lots of fluids.	[0, 0, 0, 0, 0, 0]
154	Of course you will win - you are the amazing, astounding, incredible, beautiful wise 50' woman.<PERSON>	[0, 0, 0, 0, 0, 0]
155	The Cancer Support Community/ Gildas Club has support groups.	[0, 0, 0, 0, 0, 0]
156	I have not seen how much my insurance carrier is paying the hospital and doctors but I did get a bill from the hospital for over $38k for Operating room, recovery room, 2 day/night stay, drugs etc...$38k...Out of the $38k $32k was for the recovery room....Yes you are lucky to have such good insurance and I am blessed as well but will pay a bit more...	[0, 0, 0, 0, 0, 0]
157	Also the wee research I've done seems to point in the direction of a rematch in the near future!	[0, 0, 0, 0, 0, 0]
158	After all the tests, he had one very large tumor (8cm) in his lower right lung and no known metastisis.	[0, 0, 0, 0, 0, 0]
159	When my first x-ray showed a spot, I was able to call my sister who happpens to be a doctor.	[0, 0, 0, 0, 0, 0]
160	She was so sick that I had to call a rescue to get her to the hospital.	[0, 0, 0, 0, 0, 0]
161	I have been on Aromasin for 4 years and it has been very manageable.	[0, 0, 0, 0, 0, 0]
162	breast cancer in left breast - right handed	[0, 0, 0, 0, 0, 0]
163	Try and keep some individual snacks on hand cinnamon apple sauce really helped as well as jello and cup of soups.Hope you feel better soon Di	[0, 0, 0, 0, 0, 0]
164	I can't advise you but I do know what kind of stress you are dealing with.	[0, 0, 0, 0, 0, 0]
165	I had a left pneumonectomy due to advanced NSCLC carcinoma in February, 1998.	[0, 0, 0, 0, 0, 0]
166	I completed my preop testings and my doctor has completed my medical clearance.	[0, 0, 0, 0, 0, 0]
167	I completed tx for anal cancer on 6-30-09 and the lung cancer was removed on 9-23-10.	[0, 0, 0, 0, 0, 0]
168	I'm only reading really good things about this noninvasive type of treatment.	[0, 0, 0, 0, 0, 0]
169	Appreciates the thoughts, and especially the links.	[0, 0, 0, 0, 0, 0]
170	Just use the  'button' (on the left side of the main screen)	[0, 0, 0, 0, 0, 0]
171	I have had low blood counts for almost a year,they have put a tube every where they can put one.	[0, 0, 0, 0, 0, 0]
172	I have just one question, where are you and NED going dancing tonight?	[0, 0, 0, 0, 0, 0]
173	If your dad is willing, it might benefit to have someone around his age talk to him about the treatments to come etc.	[0, 0, 0, 0, 0, 0]
174	Qualifying for clinical trials is difficult enough without having to compete for a spot with someone who would buy their way in.	[0, 0, 0, 0, 0, 0]
175	Never had a tick bite that I saw or bullseye.	[0, 0, 0, 0, 0, 0]
176	Even my results are good I feel sad every time when leave the clinic.	[0, 0, 0, 0, 0, 0]
177	reacted well to the radiation what was the original size?	[0, 0, 0, 0, 0, 0]
178	The weird thing though is that if I change position - like I stand up, it's INSTANTLY gone.	[0, 0, 0, 0, 0, 0]
179	Putting this up for slynch to read!	[0, 0, 0, 0, 0, 0]
180	Prayers for both of you are on the way!Hugs,<PERSON>	[0, 0, 0, 0, 0, 0]
181	Some of us have worse side effects from these meds.	[0, 0, 0, 0, 0, 0]
182	kind of ignored me when I asked, so I never pursued it.	[0, 0, 0, 0, 0, 0]
183	I had genetic testing and found out I had the BRCA1 gene which greatly increases the likelihood of recurrence.	[0, 0, 0, 0, 0, 0]
184	!Did you receive any treatment?	[0, 0, 0, 0, 0, 0]
185	Doc did state that hormone treatment and radiation could be a possibility after MRI was completed.	[0, 0, 0, 0, 0, 0]
186	"I do know from several pink sisters that ""joint pain"" is very common with this medication."	[0, 0, 0, 0, 0, 0]
187	My first hubby left me because I couldnt give him kids fast enough.	[0, 0, 0, 0, 0, 0]
188	Test showed my oxygen levels were dropping pretty low in my sleep.	[0, 0, 0, 0, 0, 0]
189	Time to do my exercise routine and hope for better coutcomes.	[0, 0, 0, 0, 0, 0]
190	I am praying for you.	[0, 0, 0, 0, 0, 0]
191	Proper diagnosis, modern facilities (and equipment) and experienced team of care givers may assure you better outcomes.	[0, 0, 0, 0, 0, 0]
192	Really, this takes minutes to move from one page to another.	[0, 0, 0, 0, 0, 0]
193	Lung cancer is no longer an automatic death sentence.	[0, 0, 0, 0, 0, 0]
194	We have been remodeling the bathroom so didn't see the holiday coming.	[0, 0, 0, 0, 0, 0]
195	If they cant wait to report, then maybe they should broadcast live!	[0, 0, 0, 0, 0, 0]
196	Everyday we hear of someone who has been diagnosed with cancer, and were are a very small town (11,000).	[0, 0, 0, 0, 0, 0]
197	I wish you peace and renewed health.	[0, 0, 0, 0, 0, 0]
198	Every other day I'm there joining your party.	[0, 0, 0, 0, 0, 0]
199	hope this helps you.my prayers to you and your family .	[0, 0, 0, 0, 0, 0]
200	Sending lots of prayers.Hugs, <PERSON>	[0, 0, 0, 0, 0, 0]
201	And his numerous LINKS.A friendly discussion.	[0, 0, 0, 0, 0, 0]
202	Had two days of fluids and two yet to go, but long story short, I have c-diff, anyone else have this?	[0, 0, 0, 0, 0, 0]
203	None of these was discussed by the first urologist.	[0, 0, 0, 0, 0, 0]
204	I have nsclc stage 1 and had surgery March 1.	[0, 0, 0, 0, 0, 0]
205	I stoped all the Chemo in Sept of 2006 .	[0, 0, 0, 0, 0, 0]
206	I was treated at CTCA and had tremendous success.	[0, 0, 0, 0, 0, 0]
207	Sorry what I say is so scattered.	[0, 0, 0, 0, 1, 0]
208	They wanted to do another operation but she NO, no more.	[0, 0, 0, 0, 1, 0]
209	My heart breaks more and more everytime i see him this way.	[0, 0, 0, 0, 1, 0]
210	Watching her die is what scared the heck out me.	[0, 0, 0, 0, 1, 0]
211	While standing, sometimes he feels legs are paralyzed and no sensation in legs for a fraction of time, then he holds on to something near him and then regains balance and sensation.Will post from time to time with significant updates.Thanks all for the help and support.	[0, 0, 0, 0, 1, 0]
212	It's sad to post this, mom passed on Monday 2-18-13 .	[0, 0, 0, 0, 1, 0]
213	I have lung cancer and also found myself playing the waiting game in Boston.	[0, 0, 0, 0, 1, 0]
214	it took about 3 to 5 mths to get back to soilds , i  will pray for your dad and you.god bless	[0, 0, 0, 0, 1, 0]
215	And a loss just makes us form an even tighter bond.<PERSON>	[0, 0, 0, 0, 1, 0]
216	On the x-ray they can't tell whether it is infection or cancer.	[0, 0, 0, 0, 1, 0]
217	And possible treatments, side effects.	[0, 0, 0, 0, 1, 0]
218	(I'm 48 but was thrown into menopause from the chemo so is it the menopause that caused the hot flashes, etc?)	[0, 0, 0, 0, 1, 0]
219	Got his results and it had spread to his liver and his bones.	[0, 0, 0, 0, 1, 0]
220	Katherine was just 4 when I was diagnosed and I had suffered a miscarriage a few months before diagnosis.	[0, 0, 0, 0, 1, 0]
221	My mother in law also was diagnosed with non-small cell lung cancer, stage 4, about a month ago.	[0, 0, 0, 0, 1, 0]
222	My fathers brother just found out he has lung cancer and it has spread.	[0, 0, 0, 0, 1, 0]
223	I too was diagnosed in 06~dcis lumpectomy with rads.	[0, 0, 0, 0, 1, 0]
224	I WAS THE CARE GIVER OF MY HUSBAND, THE BEST THING I DID WAS TAKE ONE A AT TIME AND WITH THE HELP OF GOD EVERITING IS POSSIBLE, BE SURE TO TELL HIM HOW MUCH YOU LOVE HIM AND MAKE GOOD MEMORIES, IT WAS VERY STRESSFUL FOR ME, BUT YOU ARE STRONG AND ANGELS ARE <PERSON>	[0, 0, 0, 0, 1, 0]
225	My Father's cancer was diagnosed when it was far gone.	[0, 0, 0, 0, 1, 0]
226	The tumor is in his left lung and also in his lymph nodes in his chest.	[0, 0, 0, 0, 1, 0]
227	My mother died 18 years ago and when they gave her chemo it killed her within a week.	[0, 0, 0, 0, 1, 0]
228	I had two separate breast cancers, and my lung cancer was discovered after that.	[0, 0, 0, 0, 1, 0]
229	"I was tested this past February for what's called ""Chemo Brain"" or ""Chemo Fog "" and yea I got it."	[0, 0, 0, 0, 1, 0]
230	my dad was diagnosed with lung cancer with a met on his spine last month.	[0, 0, 0, 0, 1, 0]
231	I get to go through chemo again (taxotere) and this time instead of a wig, I want to try Cold Caps.	[0, 0, 0, 0, 1, 0]
232	She coughs up brown phelgm, and omits a terrible odor whenever she coughs.	[0, 0, 0, 0, 1, 0]
233	I was dxed 2b lung squanous in 2005.	[0, 0, 0, 0, 1, 0]
234	Then there is at least one known mutation for which there is no targeted therapy.	[0, 0, 0, 0, 1, 0]
235	I don't sleep much these days and coming here can shake, rock my world but knowing and reading words helps me get through hours and sometimes minutes in my days.	[0, 0, 0, 0, 1, 0]
236	He is so very tired and very sick most of the time.	[0, 0, 0, 0, 1, 0]
237	I just miss him so much.....we would hold hands every night,  while watching tv or what ever we were doing....that's so hard....but I'm doing better knowing that he is no longer hurting.....	[0, 0, 0, 0, 1, 0]
238	I'm sorry to hear about your continuing pain.	[0, 0, 0, 0, 1, 0]
239	More than likely <PERSON>has a lot to deal with in regards to her mother's death.	[0, 0, 0, 0, 1, 0]
240	stage IV remission...YES.....17 years now.	[0, 0, 0, 0, 1, 0]
241	I'm almost 62 and to many drugs.	[0, 0, 0, 0, 1, 0]
242	I had no chemo so I really am no help to you.	[0, 0, 0, 0, 1, 0]
243	Help a bit but he hasn't had a bite to eat at all today.	[0, 0, 0, 0, 1, 0]
244	I'm tired of losing so many of our sisters in pink.	[0, 0, 0, 0, 1, 0]
245	Post surgery, I had twelve weekly, low-dose Carboplatin/Taxol chemo treatments.	[0, 0, 0, 0, 1, 0]
246	They may have grant money for diagnosis and treatment.	[0, 0, 0, 0, 1, 0]
247	On top of <PERSON> he was also a diabetic and that was getting out of control.	[0, 0, 0, 0, 1, 0]
248	I just completed whole brain radiation last week.	[0, 0, 0, 0, 1, 0]
249	"I have been spending a lot of time ""feeling sorry fo myself"" mainly because of the ""waiting""."	[0, 0, 0, 0, 1, 0]
250	ANY treatment, in fact, NO treatment,would show high success.	[0, 0, 0, 0, 1, 0]
251	as you've gotten so thin .. on that <PERSON> program you are on !!!	[0, 0, 0, 0, 1, 0]
252	I was diagnosed withstage IV small cell cancer June 2014.after radiation and 6 rounds of chemo I was told a second time today that I am in remission	[0, 0, 0, 0, 1, 0]
253	Sorry to hear about your detectable psa after surgery.	[0, 0, 0, 0, 1, 0]
254	My husband has just been found to have a carcinoid tumor on his right lung, he is 34 yrs old.	[0, 0, 0, 0, 1, 0]
255	Hi denny               Sorry for the horrible delay responding to you.	[0, 0, 0, 0, 1, 0]
256	How Many more nights can this go on were both so tired .	[0, 0, 0, 0, 1, 0]
257	Sometimes I wish I would die as well.	[0, 0, 0, 0, 1, 0]
258	We also have two adult sons who DO NOT know and my husband doesn't want to tell them and have them worry.	[0, 0, 0, 0, 1, 0]
259	I guess it gets worse, too----I pray a lot!	[0, 0, 0, 0, 1, 0]
260	Sending prayers for your friend's niece and her family.Hugs, <PERSON>	[0, 0, 0, 0, 1, 0]
261	Here is an interesting study regarding the use of the conformal Proton Beam at Loma Linda and Mass Hospital that indicated that since they can better pinpiont the area for the rad treatment using 3 dimensional mapping they can increase the radiation without the typical side affects which actually improved the result by 49% of non-reoccurance vs the regular strength radiation...Study done in 2005 I believe over patients from 1996 - 1999.	[0, 0, 0, 0, 1, 0]
262	We are all praying for you and your wife!	[0, 0, 0, 0, 0, 0]
263	"Typically one is administered antibiotics for one month to ""clean"" the system, and then subjected again to PSA total and free tests."	[0, 0, 0, 0, 0, 0]
264	I actually have dry skin over the scar area.	[0, 0, 0, 0, 0, 0]
265	I dont have information but tell your wife she is not alone.	[0, 0, 0, 0, 0, 0]
266	Stay warm and let folks spoil you for awhile.	[0, 0, 0, 0, 0, 0]
267	I started a regimine of Taxotere that lasted until April of 2008.	[0, 0, 0, 0, 0, 0]
268	I had a mastectomy of the left breast and immediate reconstruction.	[0, 0, 0, 0, 0, 0]
269	I have a large carcinoid (atypical) in the hilar or upper left lobe of my left lung.	[0, 0, 0, 0, 0, 0]
270	 Great post <PERSON>, cancer cannot take our pride.	[0, 0, 0, 0, 0, 0]
271	Being out of town we were planning on today, but glad we made it in yesterday.	[0, 0, 0, 0, 0, 0]
